"color_bin","rate_category","lower","upper","value","color","n_branches","value_mean","value_median","value_min","value_max","value_sd","total_branch_length"
1,"near-zero",NA,NA,NA,"grey70",54,-21.9387273953343,-21.6675565498079,-25.7921716846075,-20.7714524645434,1.11327305474393,388.086586
2,"-18 to -17",-18,-17,NA,"#4B0055",8,-17.9282276275908,-17.9282276275908,-17.9282276275908,-17.9282276275908,0,107.401613
3,"-17 to -16",-17,-16,NA,"#353E7C",6,-16.2259655778696,-16.1049582838184,-16.4679801659719,-16.1049582838184,0.187463693851888,33.209142
4,"-16 to -15",-16,-15,NA,"#007094",48,-15.3718533692766,-15.084951442736,-15.7780879109236,-15.0615586389155,0.321544257420216,312.093249
5,"-15 to -14",-15,-14,NA,"#009B95",0,NA,NA,NA,NA,NA,0
6,"-14 to -13",-14,-13,NA,"#00BE7D",12,-13.2615816257124,-13.2615816257124,-13.2615816257124,-13.2615816257124,0,110.457674
7,"-13 to -12",-13,-12,NA,"#96D84B",20,-12.3556263482203,-12.2961858463006,-12.879208874927,-12.28797552857,0.179442522618855,132.215635
8,"-12 to -11",-12,-11,NA,"#FDE333",22,-11.3574134790911,-11.3574134790911,-11.3574134790911,-11.3574134790911,0,126.636342
