"edge","parent","child","depth_start","depth_end","interval_length","value","color_bin","rate_for_flagging","rate_flag","rate_flag_source","is_near_zero","is_high_outlier","rate_category","mean","median","sd","q025","q975","highest_density_interval_low","highest_density_interval_high","n","ci_width","highest_density_interval_width","cv","clade_key","descendant_tips","descendant_examples"
24,124,30,48.828769,58.326853,9.498084,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Holodipterus_santacrucensis",1,"Holodipterus santacrucensis"
25,119,125,40.289807,47.422328,7.132521,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.064311571187872,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641032,"Orlovichthys_limnatis | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi",3,"Orlovichthys limnatis; Rhinodipterus kimberleyensis; ..."
26,125,126,47.422328,50.17617,2.753842,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi",2,"Rhinodipterus kimberleyensis; Rhinodipterus ulrichi"
27,126,32,50.17617,53.218723,3.042553,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.064311571187872,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936913,0.178564858760204,0.00563847345641031,"Rhinodipterus_kimberleyensis",1,"Rhinodipterus kimberleyensis"
28,126,33,50.17617,53.278225,3.102055,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878722,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Rhinodipterus_ulrichi",1,"Rhinodipterus ulrichi"
29,125,31,47.422328,68.021018,20.59869,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Orlovichthys_limnatis",1,"Orlovichthys limnatis"
30,116,117,38.078728,47.101573,9.022845,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Chirodipterus_australis | Chirodipterus_wildungensis | Pillararhynchus_longi",3,"Chirodipterus australis; Chirodipterus wildungensis; ..."
31,117,118,47.101573,51.323031,4.221458,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Chirodipterus_australis | Chirodipterus_wildungensis",2,"Chirodipterus australis; Chirodipterus wildungensis"
32,118,22,51.323031,53.161653,1.838622,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Chirodipterus_australis",1,"Chirodipterus australis"
34,117,24,47.101573,53.245221,6.143648,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878714,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936913,0.178564858760202,0.00563847345641027,"Pillararhynchus_longi",1,"Pillararhynchus longi"
22,120,124,43.020472,48.828769,5.808297,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.064311571187872,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641032,"Holodipterus_gogoensis | Holodipterus_santacrucensis",2,"Holodipterus gogoensis; Holodipterus santacrucensis"
33,118,23,51.323031,58.603962,7.280931,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878726,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641037,"Chirodipterus_wildungensis",1,"Chirodipterus wildungensis"
9,109,113,13.341202,21.721471,8.380269,-12.3544031738252,6,4.31073052080331e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738252,-12.3722875682446,0.13869886300492,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366162,0.364046756745481,0.011226674494384,"Chirodipterus_australis | Chirodipterus_wildungensis | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipterus_valenciennesi | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Iowadipterus_halli | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi",16,"Chirodipterus australis; Chirodipterus wildungensis; ..."
40,109,110,13.341202,14.863276,1.522074,-12.3544031738252,6,4.31073052080331e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738252,-12.3722875682446,0.13869886300492,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366162,0.364046756745481,0.011226674494384,"Cathlorhynchus_trismodipterus | Dipnorhynchus_sussmilchi | Speonesydrion_iani | Uranolophus_wyomingensis",4,"Cathlorhynchus trismodipterus; Dipnorhynchus sussmilchi; ..."
41,110,111,14.863276,15.737112,0.873836000000001,-12.3544031738252,6,4.31073052080331e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738252,-12.3722875682446,0.13869886300492,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366162,0.364046756745481,0.011226674494384,"Cathlorhynchus_trismodipterus | Dipnorhynchus_sussmilchi | Uranolophus_wyomingensis",3,"Cathlorhynchus trismodipterus; Dipnorhynchus sussmilchi; ..."
42,111,112,15.737112,16.941927,1.204815,-12.3544031738252,6,4.31073052080331e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738252,-12.3722875682446,0.13869886300492,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366162,0.364046756745481,0.011226674494384,"Dipnorhynchus_sussmilchi | Uranolophus_wyomingensis",2,"Dipnorhynchus sussmilchi; Uranolophus wyomingensis"
43,112,19,16.941927,35.016587,18.07466,-12.3544031738252,6,4.31073052080331e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738252,-12.3722875682446,0.13869886300492,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366162,0.364046756745481,0.011226674494384,"Dipnorhynchus_sussmilchi",1,"Dipnorhynchus sussmilchi"
44,112,20,16.941927,17.294936,0.353009,-12.3544031738252,6,4.31073052080331e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738252,-12.3722875682446,0.138698863004921,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366164,0.364046756745482,0.011226674494384,"Uranolophus_wyomingensis",1,"Uranolophus wyomingensis"
45,111,18,15.737112,35.338582,19.60147,-12.3544031738252,6,4.31073052080331e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738252,-12.3722875682446,0.13869886300492,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366162,0.364046756745481,0.011226674494384,"Cathlorhynchus_trismodipterus",1,"Cathlorhynchus trismodipterus"
46,110,21,14.863276,25.105576,10.2423,-12.3544031738252,6,4.31073052080331e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738252,-12.3722875682446,0.13869886300492,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366162,0.364046756745481,0.011226674494384,"Speonesydrion_iani",1,"Speonesydrion iani"
47,108,38,12.000537,16.971374,4.970837,-12.3544031738252,6,4.31073052080331e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738252,-12.3722875682446,0.13869886300492,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366162,0.364046756745481,0.011226674494384,"Diabolepis_speratus",1,"Diabolepis speratus"
8,108,109,12.000537,13.341202,1.340665,-12.3544031738253,6,4.3107305208033e-06,"regular","value",FALSE,FALSE,"-13 to -12",-12.3544031738253,-12.3722875682447,0.13869886300492,-12.4875897539242,-12.1473932455581,-12.4901917191558,-12.1261449624103,6,0.340196508366162,0.364046756745481,0.011226674494384,"Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Iowadipterus_halli | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Uranolophus_wyomingensis",20,"Cathlorhynchus trismodipterus; Chirodipterus australis; ..."
