"edge","child","clade_key","value_equal","value_ic","difference","abs_difference","descendant_tips","descendant_examples"
53,99,"Asperocephalus_milleri | Asperocephalus_sp | Glyptolepis_paucidens | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Laccognathus_embryi | Quebecius_quebecensis",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,8,"Asperocephalus milleri; Asperocephalus sp; ..."
54,100,"Asperocephalus_milleri | Asperocephalus_sp | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Laccognathus_embryi | Quebecius_quebecensis",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,7,"Asperocephalus milleri; Asperocephalus sp; ..."
55,102,"Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Laccognathus_embryi | Quebecius_quebecensis",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,5,"Holoptychius bergmanni; Holoptychius giganteus; ..."
56,103,"Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,3,"Holoptychius bergmanni; Holoptychius giganteus; ..."
57,104,"Holoptychius_giganteus | Holoptychius_jarviki",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,2,"Holoptychius giganteus; Holoptychius jarviki"
58,9,"Holoptychius_giganteus",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,1,"Holoptychius giganteus"
60,8,"Holoptychius_bergmanni",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,1,"Holoptychius bergmanni"
61,105,"Laccognathus_embryi | Quebecius_quebecensis",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,2,"Laccognathus embryi; Quebecius quebecensis"
64,101,"Asperocephalus_milleri | Asperocephalus_sp",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,2,"Asperocephalus milleri; Asperocephalus sp"
65,6,"Asperocephalus_milleri",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,1,"Asperocephalus milleri"
66,7,"Asperocephalus_sp",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,1,"Asperocephalus sp"
67,13,"Glyptolepis_paucidens",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,1,"Glyptolepis paucidens"
68,106,"Durialepis_edentatus | Heimenia_ensis",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,2,"Durialepis edentatus; Heimenia ensis"
70,15,"Heimenia_ensis",-16.0086110958155,-15.7145212471429,0.294089848672648,0.294089848672648,1,"Heimenia ensis"
59,10,"Holoptychius_jarviki",-16.0086110958155,-15.7145212471429,0.294089848672646,0.294089848672646,1,"Holoptychius jarviki"
140,158,"Austelliscus_ferox | Cheirolepis_jonesi | Cheirolepis_trailli | Cuneognathus_gardineri | Gogosardina_coatesi | Howqualepis_rostridens | Kentuckia_hlavini | Limnomis_delayni | Mimipiscis_bartrami | Mimipiscis_toombsi | Moythomasia_durgaringa | Osorioichthys_marginis | Paleoneiros_clackorum | Raynerius_splendens | Tegeolepis_clarki",-13.1640805357529,-12.879208874927,0.28487166082588,0.28487166082588,15,"Austelliscus ferox; Cheirolepis jonesi; ..."
169,86,"Meemannia_eos",-13.1640805357529,-12.879208874927,0.28487166082588,0.28487166082588,1,"Meemannia eos"
4,93,"Arquatichthys_porosus | Asperocephalus_milleri | Asperocephalus_sp | Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Cryptolepis_grossi | Diabolepis_speratus | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Durialepis_edentatus | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Glyptolepis_paucidens | Gogonasus_andrewsae | Griphognathus_sculpta | Griphognathus_whitei | Gyroptychius_groenlandicus | Gyroptychius_milleri | Heimenia_ensis | Holodipterus_gogoensis | Holodipterus_santacrucensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Hyneria_lindae | Iowadipterus_halli | Jarvikina_wenjukowi | Kenichthys_campbelli | Koharalepis_jarviki | Laccognathus_embryi | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Orlovichthys_limnatis | Osteolepis_sp | Panderichthys_sp | Pillararhynchus_longi | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Porolepis_brevis | Powichthys_thorsteinssoni | Quebecius_quebecensis | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Spodichthys_buetleri | Thursius_estonicus | Tiktaalik_roseae | Tungsenia_paradoxa | Uranolophus_wyomingensis | Youngolepis_praecursor",-13.4308002699315,-13.2615816257124,0.169218644219081,0.169218644219081,60,"Arquatichthys porosus; Asperocephalus milleri; ..."
124,153,"Diplocercides_kayseri | Miguashaia_grossi | Ngamugawi_wirngarri | Styloichthys_changae",-13.4308002699315,-13.2615816257124,0.169218644219081,0.169218644219081,4,"Diplocercides kayseri; Miguashaia grossi; ..."
129,67,"Miguashaia_grossi",-13.4308002699315,-13.2615816257124,0.169218644219081,0.169218644219081,1,"Miguashaia grossi"
