"color_bin","rate_category","lower","upper","value","color","n_branches","value_mean","value_median","value_min","value_max","value_sd","total_branch_length"
1,"near-zero",NA,NA,NA,"grey70",54,-21.5141393462748,-21.2582031150953,-24.203543031826,-19.7882324570944,0.675530360214359,388.086586
2,"-17 to -16",-17,-16,NA,"#4B0055",40,-16.3826936992762,-16.1288464857342,-16.985668981009,-16.0086110958155,0.413862323523273,266.359646
3,"-16 to -15",-16,-15,NA,"#274983",4,-15.1002008898372,-15.1002008898372,-15.114720046085,-15.0856817335894,0.0167652775361333,50.447612
4,"-15 to -14",-15,-14,NA,"#008298",18,-14.9602635982311,-14.9602635982311,-14.9602635982311,-14.9602635982311,0,135.896746
5,"-14 to -13",-14,-13,NA,"#00B28A",16,-13.4020687195857,-13.4308002699315,-13.4676676013437,-13.1640805357529,0.0937333813491418,129.539798
6,"-13 to -12",-13,-12,NA,"#7ED357",16,-12.3669994484307,-12.3544031738252,-12.4501510565734,-12.3544031738252,0.0324775610716268,113.133511
7,"-12 to -11",-12,-11,NA,"#FDE333",22,-11.405847998585,-11.405847998585,-11.405847998585,-11.405847998585,0,126.636342
