"input_index","weight","ic","IC_used"
1,2.49830075688599e-27,-342617.006312917,"GIC"
2,5.75952122678443e-46,-342531.178566478,"GIC"
3,0.95202142353149,-342739.41635085,"GIC"
4,1.76110945123112e-62,-342455.126022761,"GIC"
5,0.0479785764685098,-342733.440684949,"GIC"
6,1.88703191071319e-72,-342409.212443295,"GIC"
