"threshold","n_shifts","baseline_ic","optimal_ic","IC_used","delta_ic"
10,19,-335266.289180069,-342617.006312917,"GIC",7350.71713284764
15,13,-335266.289180069,-342531.178566478,"GIC",7264.88938640861
20,17,-335266.289180069,-342739.41635085,"GIC",7473.12717078079
25,14,-335266.289180069,-342455.126022761,"GIC",7188.83684269193
30,15,-335266.289180069,-342733.440684949,"GIC",7467.1515048797
40,12,-335266.289180069,-342409.212443295,"GIC",7142.92326322524
